"soc_code","occupation","sector","ai_exposure","emp_change_pct","education_num","routine_task_score","thinking_creatively","physical_hazard","consequence_of_error","time_pressure","contact_with_others","degree_of_automation","log_median_wage","log1p_annual_openings"
"13-1151","Training and development specialists","Business & Financial",1.198409,10.8,6,1.76,3.91,1.26,2.04,3.7,4.57,1.96,11.0951347071714,3.80443779474821
"13-1161","Market research analysts and marketing specialists","Business & Financial",1.426757,6.7,6,1.47,4.25,1.025,2.245,3.89,3.895,2.26,11.250911139267,4.47960696301275
"13-1199","Business operations specialists, all other","Business & Financial",1.047687,3,6,2.00375,3.6025,1.3,2.365,3.67,4.32,2.14,11.3055322237473,4.6931810633108
"13-2011","Accountants and auditors","Business & Financial",1.481956,4.6,6,1.65,3.33,1.08,2.75,4.19,4.55,3.05,11.3105644528385,4.829912458666
"13-2031","Budget analysts","Business & Financial",1.502988,1,6,1.47,3.22,1,2.8,4.26,4.42,1.57,11.384296322373,1.41098697371026
"13-2041","Credit analysts","Business & Financial",1.345268,-4.4,6,1.325,2.6,1,2.6,4.2,3.7,2.4,11.3018339946802,1.54756250871601
"13-2052","Personal financial advisors","Business & Financial",1.400749,9.6,6,1.08,3.39,1,3.08,3.69,3.92,2.44,11.5340997002016,3.22286784613774
"13-2053","Insurance underwriters","Business & Financial",1.326652,-2.6,6,1.225,2.97,1.03,2.9,4.57,4.5,2.87,11.2882807875298,2.21920348405499
"13-2061","Financial examiners","Business & Financial",1.526064,18.5,6,1.325,2.43,1,2.35,3.61,4.61,2.3,11.4119995463803,1.90210752639692
"13-2071","Credit counselors","Business & Financial",1.385381,3.3,6,1.245,3.22,1,2.44,3.84,4.48,3,10.8293324972151,1.16315080980568
"13-2072","Loan officers","Business & Financial",1.385739,1.7,6,1.72,3.26,1,3.01,4.12,4.83,3.2,11.2142498510436,3.05870707271538
"13-2081","Tax examiners and collectors, and revenue agents","Business & Financial",1.36682,-1.8,6,1.77,2.89,1,2.91,3.74,4.52,3.03,10.9977570917701,1.66770682055808
"13-2082","Tax preparers","Business & Financial",1.29371,4.5,2,1.595,2.7,1,2.74,4.05,4,2.81,10.8309160288207,2.43361335540045
"13-2099","Financial specialists, all other","Business & Financial",1.361362,3.1,6,1.63,3.59,1.16,3.165,3.895,3.885,2.615,11.2921540978011,2.42480272571829
"15-2011","Actuaries","Computer & Math",1.516474,21.8,6,1.27,3.43,1,2.37,3.46,3.79,2.26,11.7422101210412,1.22377543162212
"15-2021","Mathematicians","Computer & Math",1.472319,-0.7,7,1.475,4.7,1.1,2.26,3.15,3.35,1.74,11.7091499269332,0.0953101798043249
"15-2031","Operations research analysts","Computer & Math",1.40002,21.5,6,1.74,4.1,1.1,2.35,3.57,3.62,2.29,11.4217965315591,2.36085400111802
"15-2041","Statisticians","Computer & Math",1.382724,8.5,7,1.3125,3.785,1.02,2.425,3.335,3.545,2.01,11.5453926551077,1.09861228866811
"17-1011","Architects, except landscape and naval","Architecture & Engineering",1.047142,3.9,6,2.245,4.48,1.35,3.2,3.62,4.57,2.05,11.4792652634776,2.17475172148416
"17-1012","Landscape architects","Architecture & Engineering",1.034388,3.5,6,2.25,4.5,1.2,2.4,3.85,4.05,2.05,11.2855228567356,0.993251773010283
"17-1021","Cartographers and photogrammetrists","Architecture & Engineering",0.8169979,6.4,6,2.305,3.86,1.16,2.5,3.97,4.2,2.68,11.2693240717536,0.693147180559945
"17-1022","Surveyors","Architecture & Engineering",0.1460606,4.4,6,2.77,3.47,1.74,2.875,3.765,4.08,2.575,11.194646718541,1.58923520511658
"17-2011","Aerospace engineers","Architecture & Engineering",1.338738,6.1,6,2.655,4.3,1.82,2.76,3.56,4.24,1.55,11.8117700046281,1.70474809223843
"17-2021","Agricultural engineers","Architecture & Engineering",0.9409636,5.9,6,3.375,4.3,2.25,3.05,3.4,3.75,1.95,11.3460440926642,0.0953101798043249
"17-2031","Bioengineers and biomedical engineers","Architecture & Engineering",0.9874239,5.2,6,2.785,4.26,1.74,2.61,3.48,3.78,2.35,11.5801167145106,0.832909122935104
"17-2041","Chemical engineers","Architecture & Engineering",1.341336,2.6,6,2.82,3.48,2.78,3.96,3.57,3.96,2.35,11.7106281238025,0.741937344729377
"17-2051","Civil engineers","Architecture & Engineering",1.282867,5,6,2.53166666666667,3.63333333333333,1.57666666666667,3.02333333333333,3.81,4.21,2.14333333333333,11.5088170369257,3.20274644293832
"17-2061","Computer hardware engineers","Architecture & Engineering",1.141812,7.3,6,2.285,4.38,1.43,2.64,3.66,3.97,2.71,11.9513094198355,1.7404661748405
"17-2071","Electrical engineers","Architecture & Engineering",1.126725,7.2,6,2.305,4.21,2.24,3.03,3.92,4.34,2.18,11.6254502558121,2.54160199346455
"17-2072","Electronics engineers, except computer","Architecture & Engineering",0.6654578,6.2,6,2.62,4.08,1.73,2.7,3.525,4.03,1.65,11.7565772769158,1.90210752639692
"17-2081","Environmental engineers","Architecture & Engineering",1.343561,3.9,6,2.855,3.71,2,3.2,3.81,4.05,2.11,11.5537794589785,1.38629436111989
"17-2111","Health and safety engineers, except mining safety engineers and inspectors","Architecture & Engineering",0.9948935,4.4,6,2.905,3.635,2.355,3.12,3.725,4.245,1.87,11.605139948958,0.916290731874155
"17-2112","Industrial engineers","Architecture & Engineering",1.13787,11,6,2.90875,3.6525,1.88,3.02,3.74,4.2025,2.0875,11.524260974634,3.26575941076705
"17-2121","Marine engineers and naval architects","Architecture & Engineering",0.5472173,5.8,6,3.16,3.71,2.67,3.71,3.67,3.95,1.89,11.5680763094351,0.470003629245736
"17-2131","Materials engineers","Architecture & Engineering",1.037278,5.7,6,3.38,4.19,2.9,2.76,3.52,3.86,2.28,11.5927527648298,0.916290731874155
"17-2141","Mechanical engineers","Architecture & Engineering",1.004709,9.1,6,3.11333333333333,4.02666666666667,2.38,2.94666666666667,3.60666666666667,4.15,2.17333333333333,11.5358604362527,2.94968833505258
"17-2151","Mining and geological engineers, including mining safety engineers","Architecture & Engineering",1.34695,0.7,6,2.105,3.54,2.19,2.92,3.57,3.95,1.79,11.523073796022,0.336472236621213
"17-2161","Nuclear engineers","Architecture & Engineering",1.303009,-1.1,6,2.8,3.71,2.1,3.65,3.57,3.67,1.7,11.756028494024,0.587786664902119
"17-2171","Petroleum engineers","Architecture & Engineering",1.247779,1.3,6,2.065,4.11,1.95,2.76,3.67,4.54,1.94,11.8584990158378,0.78845736036427
"17-2199","Engineers, all other","Architecture & Engineering",0.787566,2.1,6,2.986875,3.97125,2.33625,3.1175,3.54375,4.00625,2.1125,11.6763190118787,2.33214389523559
"17-3011","Architectural and civil drafters","Architecture & Engineering",0.9233925,4.1,5,1.89,3.83,1.41,2.74,4.38,4,2.48,11.0710038198514,2.39789527279837
"17-3012","Electrical and electronics drafters","Architecture & Engineering",0.910166,-5.6,5,2.165,3.13,2,3,4.18,4.15,2.49,11.2080294117838,0.993251773010283
"17-3013","Mechanical drafters","Architecture & Engineering",0.8410071,-6.5,5,2.69,4.02,1.67,2.66,3.75,3.7,1.88,11.1347349989969,1.45861502269952
"17-3021","Aerospace engineering and operations technologists and technicians","Architecture & Engineering",0.3909402,8.1,5,3.105,3.21,3.84,3.78,4.47,4.02,1.79,11.2876546526398,0.641853886172395
"17-3022","Civil engineering technologists and technicians","Architecture & Engineering",0.9323219,2.1,5,2.285,3.33,1.78,2.42,3.39,4.54,2.77,11.0697584896781,1.87180217690159
"17-3023","Electrical and electronic engineering technologists and technicians","Architecture & Engineering",0.3515252,0.6,5,3.31,3.58,2.83,3.15,3.56,4.03,2.03,11.2538956350916,2.24070968927596
"17-3024","Electro-mechanical and mechatronics technologists and technicians","Architecture & Engineering",-0.3040507,1.1,5,3.7475,3.5,3.395,3.89,4.015,4.11,2.825,11.1670491482737,0.832909122935104
"17-3025","Environmental engineering technologists and technicians","Architecture & Engineering",0.0438054,1.2,5,3.145,2.89,2.91,2.95,3.5,4.42,1.97,10.9834265759386,0.741937344729377
"17-3026","Industrial engineering technologists and technicians","Architecture & Engineering",0.6106679,1.7,5,3.7125,3.82,2.965,3.095,3.63,4.405,2.445,11.078906549444,1.98787434815435
"17-3027","Mechanical engineering technologists and technicians","Architecture & Engineering",-0.1192367,0,5,3.8175,3.54,3.2,3.575,3.945,4.375,2.26,11.1379410641157,1.43508452528932
"17-3029","Engineering technologists and technicians, except drafters, all other","Architecture & Engineering",0.1941278,1.5,5,3.7175,3.34,3.23,3.56,4.045,3.925,2.615,11.2566128522645,1.90210752639692
"17-3031","Surveying and mapping technicians","Architecture & Engineering",0.0852324,4.5,2,2.27,2.83,1.44,2.74,3.7,4.02,2.59,10.8578444852167,2.15176220325946
"19-1011","Animal scientists","Life & Physical Science",1.041358,5.8,6,2.28,4.24,1.91,2.96,3.65,4.22,2.26,11.2787209662966,0.182321556793955
"19-1012","Food scientists and technologists","Life & Physical Science",0.7943575,6.5,6,2.705,4.18,2.1,3.19,3.86,3.91,2.24,11.3540469599027,0.78845736036427
"19-1013","Soil and plant scientists","Life & Physical Science",0.6320696,5.4,6,2.79,4.05,2.43,2.67,3.33,3.95,2.19,11.1761931945432,0.993251773010283
"19-1021","Biochemists and biophysicists","Life & Physical Science",0.9060509,5.8,8,3.275,4.75,3.11,3.37,3.3,3.75,2.63,11.5487751178639,1.3609765531356
"19-1022","Microbiologists","Life & Physical Science",0.6955647,4.1,6,2.93,3.76,3.5,3.86,4.14,3.77,2.5,11.3774493254078,0.993251773010283
"19-1023","Zoologists and wildlife biologists","Life & Physical Science",0.3175953,1.6,6,2.76,3.88,1.86,2.87,3.3,4.36,1.26,11.1962950705626,0.8754687373539
"19-1029","Biological scientists, all other","Life & Physical Science",1.010193,1.2,6,2.44375,4.2825,2.345,2.595,3.24,3.77,1.7925,11.4438968785598,1.75785791755237
"19-1031","Conservation scientists","Life & Physical Science",0.0690313,3.4,6,2.72833333333333,3.95333333333333,1.58,2.41,3.17,4.31333333333333,1.79,11.1265274195793,1.25276296849537
"19-1032","Foresters","Life & Physical Science",-0.184381,1.2,6,3.305,3.28,1.7,3.26,3.11,4.44,1.77,11.1656349209131,0.741937344729377
"19-1041","Epidemiologists","Life & Physical Science",1.436287,16.2,7,1.475,4.11,1.16,2.28,3.58,4.21,2.21,11.3383339542382,0.587786664902119
"19-1042","Medical scientists, except epidemiologists","Life & Physical Science",1.279928,8.7,8,2.735,4.32,3.52,3.43,3.69,4.67,2.2,11.5188081281284,2.36085400111802
"19-2011","Astronomers","Life & Physical Science",1.373737,2.2,8,2.175,4.17,1.13,2.04,2.91,3.57,1.87,11.7918442517519,0.0953101798043249
"19-2012","Physicists","Life & Physical Science",1.345736,4,8,2.19,4.14,1.38,2.13,3.05,3.39,1.57,12.021488531082,0.993251773010283
"19-2021","Atmospheric and space scientists","Life & Physical Science",1.373917,0.7,6,1.965,3.84,1.25,2.25,3.95,3.9,2.6,11.4870947049357,0.53062825106217
"19-2031","Chemists","Life & Physical Science",0.5011251,4.9,6,3.21,3.34,3.65,3.42,3.79,3.82,2.02,11.340356199619,1.98787434815435
"19-2032","Materials scientists","Life & Physical Science",1.032757,4.9,6,3.055,4.05,3.05,3.05,3.38,3.81,2.3,11.5536834574424,0.470003629245736
"19-2041","Environmental scientists and specialists, including health","Life & Physical Science",1.014113,4.4,6,2.0025,3.61,1.5,2.22,3.4575,3.9825,1.475,11.2905316325466,2.2512917986065
"19-2042","Geoscientists, except hydrologists and geographers","Life & Physical Science",0.7143481,3.2,6,2.21,4.25,2,2.38,3.44,3.75,1.65,11.5052964378057,1.09861228866811
"19-2043","Hydrologists","Life & Physical Science",0.6405071,-0.1,6,2.41,3.95,1.61,2.48,3.35,3.91,1.82,11.4301958173712,0.405465108108164
"19-2099","Physical scientists, all other","Life & Physical Science",1.140157,0.6,6,2.175,4.12,1.08,2.52,3.44,3.64,2.64,11.6781008629292,1.09861228866811
"19-3011","Economists","Life & Physical Science",1.403764,1.2,7,1.12,4.005,1,2.13,3.195,3.175,1.885,11.6565061934478,0.641853886172395
"19-3022","Survey researchers","Life & Physical Science",1.42653,-5.2,7,1.575,3.96,1,2.84,4,3.92,2.23,11.0569036332449,0.53062825106217
"19-3032","Industrial-organizational psychologists","Life & Physical Science",1.402475,6.3,7,1.135,3.64,1.08,2.88,3.73,4.23,1.77,11.6067800404419,0.336472236621213
"19-3039","Psychologists, all other","Life & Physical Science",1.389854,4.3,7,1.7875,3.31,1.06,2.66,4.125,4.105,1.82,11.6748742319562,1.58923520511658
"19-3041","Sociologists","Life & Physical Science",1.411125,3.6,7,1.425,4.35,1,1.89,3.3,3.65,1.84,11.5296842487852,0.262364264467491
"19-3051","Urban and regional planners","Life & Physical Science",1.227516,3.4,7,1.24,4.2,1.08,1.92,3.52,4.04,1.4,11.3352331765599,1.48160454092422
"19-3091","Anthropologists and archeologists","Life & Physical Science",0.6965665,3.7,7,1.53,4.15,1.32,2.17,3.7,4,1.53,11.0807569740275,0.587786664902119
"19-3092","Geographers","Life & Physical Science",1.436298,-3.1,6,1.65,4,1.21,1.8,3.5,3.4,2,11.4845259904485,0.0953101798043249
"19-3093","Historians","Life & Physical Science",1.098921,2.2,7,1.71,3.07,1.05,1.91,3.21,4.04,1.16,11.2124958196959,0.262364264467491
"19-3094","Political scientists","Life & Physical Science",1.418863,-3.1,7,1.315,4.23,1,2.08,3.27,3.92,1.64,11.8449592949925,0.405465108108164
"19-3099","Social scientists and related workers, all other","Life & Physical Science",1.328048,-1.7,6,1.555,4.05,1.05,1.89,3.1,3.95,1.8,11.5163196980382,1.43508452528932
"19-4021","Biological technicians","Life & Physical Science",0.3012355,3.5,6,2.6,3.19,2.81,2.72,3.33,4.15,1.78,10.8589989975636,2.31253542384721
"19-4031","Chemical technicians","Life & Physical Science",0.0628057,3.7,5,3.28,2.75,4.49,3.84,4.35,3.9,2.5,10.9645710293118,2.04122032885964
"19-4051","Nuclear technicians","Life & Physical Science",0.1696743,-7.7,5,3.3775,2.895,3.67,3.955,3.53,4.365,2.195,11.5544512117987,0.53062825106217
"19-4061","Social science research assistants","Life & Physical Science",1.204652,4.4,6,1.315,3.22,1.07,1.92,2.85,3.67,1.62,10.9688877069981,1.82454929205105
"19-4092","Forensic science technicians","Life & Physical Science",0.2400518,12.8,6,2.225,2.36,2.52,3.81,3.92,4.2,1.53,11.1189935926757,1.3609765531356
"19-4099","Life, physical, and social science technicians, all other","Life & Physical Science",0.4501044,3.5,5,2.8575,3.055,2.595,2.925,3.83,4.01,2.08,11.0042641640336,2.45100509811232
"21-1012","Educational, guidance, and career counselors and advisors","Community & Social Service",0.9739287,3.5,7,1.79,3.67,1,2.96,3.76,4.87,1.52,11.0842940788302,3.46573590279973
"21-1013","Marriage and family therapists","Community & Social Service",1.367434,12.6,7,1.19,3.53,1,2.43,4.58,4.66,1.38,11.063194940564,2.16332302566054
"21-1015","Rehabilitation counselors","Community & Social Service",0.5025014,1.4,7,1.88,3.63,1,2.42,4.16,4.56,1.73,10.7387851252008,2.39789527279837
"21-1021","Child, family, and school social workers","Community & Social Service",0.7761707,3.4,6,1.83,4.04,1.09,3.64,4.33,4.95,2.21,10.9779778990838,3.58629286533884
"21-1022","Healthcare social workers","Community & Social Service",0.9339648,7.7,7,1.515,3.52,1.19,2.7,4,4.81,1.69,11.128585638477,2.96527306606928
"21-1023","Mental health and substance abuse social workers","Community & Social Service",1.119216,9.7,7,1.475,3.9,1,2.86,4.39,4.79,1.77,11.0030993415373,2.67414864942653
"21-1091","Health education specialists","Community & Social Service",0.691658,4.5,6,2.01,4.13,1.16,2.46,3.81,4.73,1.57,11.0508900053737,2.18605127673809
"21-1092","Probation officers and correctional treatment specialists","Community & Social Service",0.5272448,2.6,6,2.39,3.25,1.92,3.56,4.4,4.96,2.66,11.0747305322391,2.18605127673809
"21-1093","Social and human service assistants","Community & Social Service",0.4652255,6.4,2,1.865,3.69,1.03,2.71,4.12,4.88,2.23,10.7170808861719,3.94352167248752
"21-1094","Community health workers","Community & Social Service",0.0371229,11.3,2,2.72,4.02,1.62,2.44,3.42,4.58,2.21,10.840168974058,2.17475172148416
"21-2011","Clergy","Community & Social Service",1.282559,1,6,1.92,3.69,1,2.74,3.87,4.59,1.71,11.0156739612314,3.17805383034795
"21-2021","Directors, religious activities and education","Community & Social Service",1.210922,2.1,6,2.225,4.21,1,1.44,2.61,4.09,1.44,10.9121751336763,2.69462718077007
"23-1011","Lawyers","Legal",1.328783,4.1,8,1.35,3.87,1,3.81,4.18,4.75,1.44,11.9260941574634,3.48124008933569
"23-1012","Judicial law clerks","Legal",1.462973,2.5,8,1.075,3.23,1.05,2.72,4.07,4.09,1.84,11.0087443839229,0.693147180559945
"23-1021","Administrative law judges, adjudicators, and hearing officers","Legal",1.374714,-0.7,8,1.295,3.08,1.01,2.47,4.42,4.36,2.15,11.6546854100081,0.405465108108164
"23-1022","Arbitrators, mediators, and conciliators","Legal",1.431593,4.3,6,1.785,3.63,1.2,2.4,3.8,3.65,2.1,11.1229891584797,0.262364264467491
"23-1023","Judges, magistrate judges, and magistrates","Legal",1.496494,2.5,8,1.38,3.06,1.05,3.65,4.73,4.68,2.13,11.9589565348251,0.641853886172395
"23-2011","Paralegals and legal assistants","Legal",1.292055,0.2,5,1.58,2.72,1.02,2.92,4.36,4.53,1.5,11.0187930641459,3.69635146895264
"23-2093","Title examiners, abstractors, and searchers","Legal",1.279954,2,2,1.685,2.43,1.05,3.46,4.41,3.65,3.03,10.9147247617192,1.85629799036563
"25-1011","Business teachers, postsecondary","Education",1.349314,5.7,8,1.515,3.95,1,1.82,3.68,4.11,2.22,11.4852458958635,2.2082744135228
"25-1021","Computer science teachers, postsecondary","Education",1.277778,5.3,8,1.92,4.35,1,1.64,4.02,4.46,1.57,11.4792652634776,1.50407739677627
"25-1022","Mathematical science teachers, postsecondary","Education",1.338676,2.3,8,1.58,3.76,1,1.44,3.6,4.31,1.62,11.2816237259546,1.68639895357023
"25-1031","Architecture teachers, postsecondary","Education",1.222022,2,8,2.235,4.46,1.13,1.9,3.47,4.29,1.72,11.5276170137132,0.641853886172395
"25-1032","Engineering teachers, postsecondary","Education",1.351133,8.1,8,2.43,4.63,2.04,2.53,3.55,4.25,1.32,11.5723258082517,1.62924053973028
"25-1041","Agricultural sciences teachers, postsecondary","Education",0.7546685,4.1,8,2.355,4.03,1.76,2.41,3.58,4.16,1.52,11.3661640835748,0.587786664902119
"25-1042","Biological science teachers, postsecondary","Education",1.227677,7.3,8,2.345,4.4,2.41,2.37,4.05,4.41,1.35,11.3321227541455,1.85629799036563
"25-1043","Forestry and conservation science teachers, postsecondary","Education",1.260278,4,8,2.21,4.58,2.26,2.54,3.85,4.49,1.39,11.5211912093873,0.0953101798043249
"25-1051","Atmospheric, earth, marine, and space sciences teachers, postsecondary","Education",1.306156,2.6,8,2.03,4.09,2.11,2.31,3.68,4.29,1.51,11.5267297459466,0.693147180559945
"25-1052","Chemistry teachers, postsecondary","Education",1.333947,2.2,8,2.15,3.91,3.28,2.94,3.78,4.3,1.52,11.3646574483011,1.06471073699243
"25-1053","Environmental science teachers, postsecondary","Education",1.347519,2.9,8,2.255,4.02,2.34,2.57,3.59,4.26,1.64,11.3817911969454,0.53062825106217
"25-1054","Physics teachers, postsecondary","Education",1.044191,2.5,8,2.285,4.34,1.76,2.28,3.69,4.41,1.55,11.4861707276614,0.832909122935104
"25-1061","Anthropology and archeology teachers, postsecondary","Education",1.321694,2.7,8,1.87,4.27,1.27,1.91,3.41,4.09,1.36,11.4697047625157,0.405465108108164
"25-1062","Area, ethnic, and cultural studies teachers, postsecondary","Education",1.308699,2.4,8,1.46,4.42,1.04,2.32,4.03,4.47,1.38,11.3420185129915,0.741937344729377
"25-1063","Economics teachers, postsecondary","Education",1.319012,2.1,8,1.74,4.33,1,1.98,3.38,4.24,1.78,11.6950803412071,0.78845736036427
"25-1064","Geography teachers, postsecondary","Education",1.318899,3.3,8,1.71,4.34,1.13,1.91,3.76,4.35,1.54,11.3705551236785,0.262364264467491
"25-1065","Political science teachers, postsecondary","Education",1.368397,2,8,1.14,4.27,1,1.52,3.57,4.13,1.18,11.4582580636279,0.955511445027436
"25-1066","Psychology teachers, postsecondary","Education",1.33366,3.6,8,1.52,3.96,1,1.98,3.39,4.37,1.95,11.2938984291679,1.6094379124341
"25-1067","Sociology teachers, postsecondary","Education",1.349229,2.1,8,1.21,4.47,1,2.06,3.72,4.24,1.4,11.3210383033066,0.741937344729377
"25-1071","Health specialties teachers, postsecondary","Education",0.924754,17.3,8,2.535,4.3,1.42,2.89,3.79,4.76,1.57,11.5676030262609,3.34638914516716
"25-1072","Nursing instructors and teachers, postsecondary","Education",0.5170682,16.8,8,2.455,3.98,1.64,3.63,3.8,4.65,2.08,11.2890316322653,2.26176309847379
"25-1081","Education teachers, postsecondary","Education",1.192988,2.1,8,1.68,4.11,1,2.55,3.52,4.53,1.5,11.1856706173986,1.88706964903238
"25-1082","Library science teachers, postsecondary","Education",1.386292,3,8,1.64,4.39,1.01,1.92,3.58,4.34,1.39,11.2725085849856,0.336472236621213
